wind_speed,wdir,smois,fuels,ignition,safe_unsafe_ignition_pattern,safe_unsafe_fire_behavior,does_fire_meet_objectives,rationale_if_unsafe,burned_area,FILE
2,255,0.1,ST5_FFDUET_Over10m,ST5_ignite_ring.dat,safe,other,yes,,144160,https://wifire-data.sdsc.edu/data//burnpro3d/d/69/bb/run_69bb4f44-4202-4772-a04f-d62e00cf8c9d/png/run_69bb4f44-4202-4772-a04f-d62e00cf8c9d_fuels-dens_2100_000.png
2,255,0.1,ST5_FFDUET_Over10m,ST5_ignite_contour.dat,safe,safe,Yes,,57890,https://wifire-data.sdsc.edu/data//burnpro3d/d/15/6b/run_156b0bf1-34d9-41bc-989f-c6287622316f/png/run_156b0bf1-34d9-41bc-989f-c6287622316f_fuels-dens_2100_000.png
3,255,0.1,ST5_FFDUET_Over10m,ST5_ignite_contour.dat,safe,safe,Yes,,187375,https://wifire-data.sdsc.edu/data//burnpro3d/d/63/b9/run_63b9e67e-6e32-4ea1-9f94-903115bac4ee/png/run_63b9e67e-6e32-4ea1-9f94-903115bac4ee_fuels-dens_2100_000.png
5,240,0.1,ST5_FFDUET_Over10m,ST5_ignite_contour.dat,safe,unsafe,yes,,118425,https://wifire-data.sdsc.edu/data//burnpro3d/d/f9/88/run_f98818eb-e0e1-40c6-b65d-4f9845981b4b/png/run_f98818eb-e0e1-40c6-b65d-4f9845981b4b_fuels-dens_2100_000.png
2,180,0.1,ST5_FFDUET_TLS,ST5_ignite_strip.dat,safe,safe,yes,,142958,https://wifire-data.sdsc.edu/data//burnpro3d/d/6f/04/run_6f04d8f5-bdcd-4a63-96fd-0d0e7badd709/png/run_6f04d8f5-bdcd-4a63-96fd-0d0e7badd709_fuels-dens_2100_000.png
3,180,0.1,ST5_FF_DUET,ST5_ignite_strip.dat,safe,safe,yes,,145373,https://wifire-data.sdsc.edu/data//burnpro3d/d/19/9a/run_199a8c35-c3f8-4de1-be7d-150c46b2a536/png/run_199a8c35-c3f8-4de1-be7d-150c46b2a536_fuels-dens_2100_000.png
3,225,0.1,ST5_FF_DUET,ST5_ignite_contour.dat,safe,safe,yes,,121783,https://wifire-data.sdsc.edu/data//burnpro3d/d/87/ed/run_87edb983-ed6d-4553-8ac1-a31a0fbf6d64/png/run_87edb983-ed6d-4553-8ac1-a31a0fbf6d64_fuels-dens_2100_000.png
2,195,0.1,ST5_FFDUET_TLS,ST5_ignite_strip.dat,safe,safe,yes,,143124,https://wifire-data.sdsc.edu/data//burnpro3d/d/4c/bf/run_4cbf14d2-b769-4c0c-8e45-400475d49c65/png/run_4cbf14d2-b769-4c0c-8e45-400475d49c65_fuels-dens_2100_000.png
2,195,0.1,ST5_FF_DUET,ST5_ignite_strip.dat,safe,safe,yes,,143572,https://wifire-data.sdsc.edu/data//burnpro3d/d/20/32/run_20322f23-c388-4105-9ad8-474b5e244a56/png/run_20322f23-c388-4105-9ad8-474b5e244a56_fuels-dens_2100_000.png
2,225,0.1,ST5_FFDUET_TLS,ST5_ignite_contour.dat,safe,safe,yes,,124237,https://wifire-data.sdsc.edu/data//burnpro3d/d/41/ad/run_41ad0b5e-f4bf-4e06-ba88-7326a15a20d9/png/run_41ad0b5e-f4bf-4e06-ba88-7326a15a20d9_fuels-dens_2100_000.png
2,225,0.1,ST5_FF_DUET,ST5_ignite_contour.dat,safe,safe,yes,,118436,https://wifire-data.sdsc.edu/data//burnpro3d/d/a5/93/run_a5932f18-d2fb-4320-9447-d7d3068cc2c6/png/run_a5932f18-d2fb-4320-9447-d7d3068cc2c6_fuels-dens_2100_000.png
2,180,0.1,ST5_FFDUET_TLS,ST5_ignite_contour.dat,safe,safe,yes,,120088,https://wifire-data.sdsc.edu/data//burnpro3d/d/65/e8/run_65e883c4-79e1-4de4-8863-10c05e95628f/png/run_65e883c4-79e1-4de4-8863-10c05e95628f_fuels-dens_2100_000.png
3,195,0.1,ST5_FF_DUET,ST5_ignite_contour.dat,safe,safe,yes,,124461,https://wifire-data.sdsc.edu/data//burnpro3d/d/7d/32/run_7d32ec66-002f-4fda-b8d2-3e782f24ac0a/png/run_7d32ec66-002f-4fda-b8d2-3e782f24ac0a_fuels-dens_2100_000.png
3,180,0.1,ST5_FFDUET_TLS,ST5_ignite_contour.dat,safe,safe,yes,,186431,https://wifire-data.sdsc.edu/data//burnpro3d/d/83/54/run_8354fd07-1aba-4cf0-b39e-6a1d0f3e2eb2/png/run_8354fd07-1aba-4cf0-b39e-6a1d0f3e2eb2_fuels-dens_2100_000.png
2,240,0.1,ST5_FF_DUET,ST5_ignite_contour.dat,safe,safe,yes,,119009,https://wifire-data.sdsc.edu/data//burnpro3d/d/59/c9/run_59c929f2-9305-4839-9971-85b73d684591/png/run_59c929f2-9305-4839-9971-85b73d684591_fuels-dens_2100_000.png
2,225,0.1,ST5_FF_DUET,ST5_ignite_strip.dat,safe,safe,yes,,98081,https://wifire-data.sdsc.edu/data//burnpro3d/d/76/c7/run_76c7dc20-e7e7-4e18-b7a5-1c2a90b63f27/png/run_76c7dc20-e7e7-4e18-b7a5-1c2a90b63f27_fuels-dens_2100_000.png
3,195,0.1,ST5_FF_DUET,ST5_ignite_strip.dat,safe,safe,yes,,75726,https://wifire-data.sdsc.edu/data//burnpro3d/d/7c/45/run_7c457822-a68d-43a6-a6b5-526ccb04833f/png/run_7c457822-a68d-43a6-a6b5-526ccb04833f_fuels-dens_2100_000.png
2,255,0.1,ST5_FF_DUET,ST5_ignite_strip.dat,safe,safe,yes,,185471,https://wifire-data.sdsc.edu/data//burnpro3d/d/59/cb/run_59cb02f9-fff0-42bd-9631-4faa9e80582d/png/run_59cb02f9-fff0-42bd-9631-4faa9e80582d_fuels-dens_2100_000.png
2,240,0.1,ST5_FF_DUET,ST5_ignite_ring.dat,safe,safe,yes,,136328,https://wifire-data.sdsc.edu/data//burnpro3d/d/de/dc/run_dedc91cf-d888-4e14-9137-3cc0f8b98de3/png/run_dedc91cf-d888-4e14-9137-3cc0f8b98de3_fuels-dens_2100_000.png
2,240,0.1,ST5_FF_DUET,ST5_ignite_strip.dat,safe,safe,yes,,143326,https://wifire-data.sdsc.edu/data//burnpro3d/d/dc/b8/run_dcb85f6c-9405-4e48-96a9-d77f17363b6c/png/run_dcb85f6c-9405-4e48-96a9-d77f17363b6c_fuels-dens_2100_000.png
5,240,0.1,ST5_FF_DUET,ST5_ignite_strip.dat,safe,other,yes,,166736,https://wifire-data.sdsc.edu/data//burnpro3d/d/fb/56/run_fb56f483-bf86-4342-a98f-c7c4084b461b/png/run_fb56f483-bf86-4342-a98f-c7c4084b461b_fuels-dens_2100_000.png
2,225,0.1,ST5_FF_DUET,ST5_ignite_ring.dat,safe,safe,yes,,176602,https://wifire-data.sdsc.edu/data//burnpro3d/d/89/db/run_89dba2c7-50cc-4197-bd20-a8c4494ab249/png/run_89dba2c7-50cc-4197-bd20-a8c4494ab249_fuels-dens_2100_000.png
